team_id,team,season,n_games_total,n_games,n_days,mean_impact,shrunk_impact,ci_low,ci_high,eligible,win_rate
oe:team:056c3140a119e44a03d462e2c832f27,EDward Gaming,2025,68,55,20,0.21321748,0.18041479,0.07310042,0.29523860,True,0.56363636
oe:team:33d17f3717f58e12a3da80b377221fb,FunPlus Phoenix,2025,115,105,39,0.15778896,0.14406818,0.01189344,0.26076857,True,0.34285714
oe:team:48d7941ccbd5b89aca46c57b0c2f8fb,Ninjas in Pyjamas,2025,111,92,34,0.00352214,0.00317683,-0.10468116,0.10751680,True,0.45652174
oe:team:53a258f289c26d94431c0496a54e151,Invictus Gaming,2025,132,114,42,0.08990430,0.08265395,-0.04235063,0.21495653,True,0.59649123
oe:team:5f401785b6b78326f9a46b3c6b206ed,LGD Gaming,2025,62,50,20,-0.02097773,-0.01748144,-0.21466294,0.19628186,True,0.48000000
oe:team:606c6ac695907af3823ee6405c58ff1,Weibo Gaming,2025,135,116,41,0.12416079,0.11430676,0.01075031,0.23249599,True,0.45689655
oe:team:62c1cd9465dc63824593ee5046f5aa8,Team WE,2025,127,114,41,0.23842842,0.21920032,0.11510302,0.33161210,True,0.43859649
oe:team:73f3126d91d35faa5d5ce34abadb865,Royal Never Give Up,2025,31,17,6,0.04064537,0.02559153,-0.09432620,0.09488207,True,0.29411765
oe:team:8d09428f093dfbf3c488bce350af0b1,Ultra Prime,2025,70,55,19,-0.06946825,-0.05878083,-0.20564435,0.09112918,True,0.36363636
oe:team:a9145b7711873f53e610fbba0493484,LNG Esports,2025,50,37,16,0.18920275,0.14894684,-0.02024144,0.30789798,True,0.37837838
oe:team:b42d0f31f2727621b963042276817c4,JD Gaming,2025,137,108,40,-0.07959918,-0.07285349,-0.18885673,0.03910907,True,0.52777778
oe:team:d356a144644879dabb5f34cd99c886d,Bilibili Gaming,2025,148,122,42,0.11256975,0.10404174,-0.01267659,0.22089246,True,0.62295082
oe:team:df80f468a3f9a722df056fe9104f052,ThunderTalk Gaming,2025,98,74,30,-0.12613107,-0.11111547,-0.21879969,-0.01253141,True,0.29729730
oe:team:ed28f87f0cfdba0a2a8f183cebae73a,Anyone's Legend,2025,142,114,42,0.05839657,0.05368717,-0.03964948,0.14680939,True,0.64912281
oe:team:f4c4528c6981e104a11ea7548630c23,Oh My God,2025,32,19,7,-0.27129629,-0.17774584,-0.35479785,0.00241609,True,0.26315789
oe:team:fcec508e780bbd1ad493852640f5b36,Top Esports,2025,152,122,42,-0.05093094,-0.04707253,-0.15405363,0.06938975,True,0.65573770
